trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade
47,BTCUSDT,2025-09-13 13:00:00,2025-09-13 14:00:00,116060.911455,115601.66082014,115622.36597814,115659.49056542,0.02185938,0.0,2537.02004191,0.0956,95.0,1.7768,IGNITION,2.53702004,2.52698111,False,-15.10293717,-0.5947,STOP LOSS,9980.27661856
48,ETHUSDT,2025-09-14 02:00:00,2025-09-14 04:30:00,4675.466565,4644.29187413,4646.61518172,4646.61518172,0.54304929,0.0,2539.008783,0.1564,95.0,1.9408,IGNITION,2.53900878,2.52207939,False,-21.99048181,-0.8652,STOP LOSS,8146.69117167
49,SOLUSDT,2025-09-13 23:00:00,2025-09-14 13:00:00,242.010945,244.64200297,239.0301945,244.76438516,10.04472863,2.51118216,2430.93426816,0.3,99.0,2.0702,IGNITION,2.43093427,2.46541453,True,29.58391163,1.2158,STOP LOSS,9987.87004838
50,BTCUSDT,2025-09-14 22:00:00,2025-09-14 23:30:00,116117.50974,115470.60016844,115528.36435062,115528.36435062,0.03440608,0.0,3995.14801935,0.2029,100.0,1.8815,IGNITION,3.99514802,3.9728904,False,-30.22565916,-0.7558,STOP LOSS,9957.64438922
51,ETHUSDT,2025-09-15 04:00:00,2025-09-15 06:45:00,4638.5181,4643.15313921,4610.108146,4645.47587715,0.75135538,0.0,3485.17553623,0.2144,99.0,1.9389,IGNITION,3.48517554,3.4886581,False,-3.49127198,-0.1001,STOP LOSS,9954.15311724
52,BTCUSDT,2025-09-15 22:00:00,2025-09-16 00:30:00,115585.764,115059.83567304,115117.39437023,115117.39437023,0.03347312,0.0,3869.01573847,0.1575,93.0,1.8053,IGNITION,3.86901574,3.85141128,False,-25.32488715,-0.6539,STOP LOSS,9928.82823009
53,BTCUSDT,2025-09-16 17:00:00,2025-09-16 18:45:00,116126.084025,116242.12301446,115623.33730577,116300.27315104,0.03420017,0.0,3971.53129204,0.1732,100.0,2.0076,ADAPTIVE_BREAKOUT,3.97153129,3.97549984,False,-3.97847849,-0.1001,STOP LOSS,9924.8497516
54,ETHUSDT,2025-09-18 02:00:00,2025-09-18 06:15:00,4621.259475,4572.70608965,4574.99358644,4574.99358644,0.21427334,0.0,990.21268574,0.0999,100.0,2.2303,ADAPTIVE_BREAKOUT,0.99021269,0.97980899,False,-12.37371754,-1.2484,STOP LOSS,5938.56619351
55,BTCUSDT,2025-09-17 23:00:00,2025-09-18 23:15:00,116617.95984,116920.92757953,115854.91045792,116979.41728818,0.03404227,0.0,3969.93990064,0.2617,100.0,1.9556,IGNITION,3.9699399,3.98025361,False,2.36351563,0.0595,STOP LOSS,8939.9631398
56,LINKUSDT,2025-09-18 09:00:00,2025-09-19 03:45:00,24.262125,24.45494509,23.95344901,24.46717868,40.14085771,10.03521443,973.90250737,0.1248,100.0,2.1563,ADAPTIVE_BREAKOUT,0.97390251,0.9857779,True,9.91571645,1.0171,STOP LOSS,6444.99318049
57,ETHUSDT,2025-09-19 01:00:00,2025-09-19 03:45:00,4612.094895,4569.42344859,4571.70930324,4571.70930324,0.7537325,0.0,3476.28579984,0.3065,95.0,2.0174,IGNITION,3.4762858,3.44412294,False,-39.08326458,-1.1232,STOP LOSS,9885.67200154
58,BTCUSDT,2025-09-28 23:00:00,2025-09-30 04:45:00,111994.479255,114107.11512076,111127.54656394,114164.19721937,0.01795979,0.00448995,2011.39788754,0.1575,100.0,2.1805,ADAPTIVE_BREAKOUT,2.01139789,2.04738442,True,31.92774746,1.5858,STOP LOSS,8715.74033517
59,ETHUSDT,2025-09-29 14:00:00,2025-09-30 05:45:00,4171.214565,4175.38265115,4123.03525225,4177.47138685,0.28784392,0.0,1200.65875507,0.14,100.0,2.2529,ADAPTIVE_BREAKOUT,1.20065876,1.20185851,False,-1.20275901,-0.1001,STOP LOSS,9916.39698999
60,ETHUSDT,2025-09-30 21:00:00,2025-09-30 23:00:00,4197.467685,4129.59780108,4131.6636329,4131.6636329,0.23491077,0.0,986.03037093,0.1558,100.0,2.0975,IGNITION,0.98603037,0.970087,False,-17.89948415,-1.8135,STOP LOSS,5927.97215105
61,SOLUSDT,2025-10-01 02:00:00,2025-10-01 04:00:00,210.68529,207.41900426,207.52276564,207.52276564,4.64391419,0.0,978.40440786,0.1484,98.0,2.1036,IGNITION,0.97840441,0.96323606,False,-17.10999116,-1.747,STOP LOSS,5910.86215989
62,LINKUSDT,2025-10-01 15:00:00,2025-10-02 10:15:00,22.421205,22.44360939,22.15178367,22.45483681,86.16761019,0.0,1931.98165237,0.233,100.0,2.2586,ADAPTIVE_BREAKOUT,1.93198165,1.93391219,False,-1.93536117,-0.1001,STOP LOSS,6911.71368725
63,SOLUSDT,2025-10-02 13:00:00,2025-10-02 13:30:00,227.383635,224.96146837,225.07400538,225.07400538,8.37169949,0.0,1903.58746176,0.193,100.0,2.218,ADAPTIVE_BREAKOUT,1.90358746,1.88330981,False,-24.06454838,-1.2629,STOP LOSS,6887.64913887
