signal_first_true_time,signal_evaluated_time,order_fill_time,signal_first_true_to_fill_hours,signal_evaluation_to_fill_minutes,symbol,route,quality_episode_id,emission_number_in_same_episode,stale_same_episode_retrigger,selection_rank,selection_score,raw_signal_close,raw_next_candle_open,slipped_entry_price,opening_gap_atr,theoretical_rr_at_signal_close,actual_rr_after_gap_and_slippage,estimated_round_trip_cost_percent,gross_projected_target_move_percent,cost_as_percent_of_projected_target_move,actual_trade_entered,entry_or_reject_reason
2025-10-28 13:00:00,2025-10-28 13:00:00,2025-10-28 13:00:00,0.0,0.0,LINKUSDT,IGNITION,7,1,False,1,100.0,18.53,18.52,18.52926,-0.003338,2.2,2.210149,0.3,2.782957,10.7799,False,PORTFOLIO_OR_ACCOUNT_LIMIT_NOT_RECORDED
2025-12-03 22:00:00,2025-12-03 22:00:00,2025-12-03 22:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,27,1,False,1,100.0,145.49,145.5,145.57275,0.046272,2.4,2.307927,0.3,4.84461,6.1924,False,PORTFOLIO_OR_ACCOUNT_LIMIT_NOT_RECORDED
2025-12-08 10:00:00,2025-12-08 10:00:00,2025-12-08 10:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,28,1,False,1,100.0,138.14,138.14,138.20907,0.044242,2.4,2.29305,0.3,3.643041,8.2349,True,EXECUTED
2025-12-12 06:00:00,2025-12-12 06:00:00,2025-12-12 06:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,29,1,False,1,100.0,138.9,138.91,138.979455,0.047769,2.4,2.266755,0.3,3.306752,9.0723,True,EXECUTED
2025-12-12 10:00:00,2025-12-12 10:00:00,2025-12-12 10:00:00,0.0,0.0,LINKUSDT,IGNITION,8,1,False,1,100.0,14.09,14.08,14.08704,-0.016943,2.2,2.249338,0.3,3.065452,9.7865,False,HIGH_BETA_CORRELATION_BUCKET
2026-01-02 10:00:00,2026-01-02 10:00:00,2026-01-02 10:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,30,1,False,1,100.0,129.4,129.39,129.454695,0.061549,2.4,2.30692,0.3,3.560276,8.4263,False,PORTFOLIO_OR_ACCOUNT_LIMIT_NOT_RECORDED
2026-01-02 15:00:00,2026-01-02 15:00:00,2026-01-02 15:00:00,0.0,0.0,LINKUSDT,IGNITION,9,1,False,1,100.0,13.07,13.07,13.076535,0.050709,2.2,2.123205,0.3,4.421421,6.7851,False,MARKET_SHOCK_ENTRY_FREEZE
2026-01-03 22:00:00,2026-01-03 22:00:00,2026-01-03 22:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,31,1,False,1,100.0,132.87,132.87,132.936435,0.077534,2.4,2.222219,0.3,2.123892,14.125,True,EXECUTED
2026-01-04 21:00:00,2026-01-04 21:00:00,2026-01-04 21:00:00,0.0,0.0,LINKUSDT,IGNITION,10,1,False,1,100.0,13.42,13.41,13.416705,-0.030453,2.2,2.31207,0.3,1.621335,18.5033,False,PORTFOLIO_OR_ACCOUNT_LIMIT_NOT_RECORDED
2026-01-05 15:00:00,2026-01-05 15:00:00,2026-01-05 15:00:00,0.0,0.0,LINKUSDT,IGNITION,13,1,False,1,100.0,13.62,13.62,13.62681,0.048539,2.2,2.084184,0.3,2.877869,10.4244,True,EXECUTED
2026-01-05 20:00:00,2026-01-05 20:00:00,2026-01-05 20:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,33,1,False,1,100.0,138.23,138.23,138.299115,0.048847,2.4,2.25014,0.3,2.551267,11.7589,False,HIGH_BETA_CORRELATION_BUCKET
2026-01-06 15:00:00,2026-01-06 15:00:00,2026-01-06 15:00:00,0.0,0.0,LINKUSDT,IGNITION,14,1,False,2,58.75,14.1,14.1,14.10705,0.043631,2.2,2.137771,0.3,5.493794,5.4607,True,EXECUTED
2026-01-06 15:00:00,2026-01-06 15:00:00,2026-01-06 15:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,35,1,False,1,91.25,142.0,142.0,142.071,0.049983,2.4,2.315098,0.3,4.633246,6.4749,False,LOWER_RANK_THAN_EXECUTED_CANDIDATE
2026-01-12 03:00:00,2026-01-12 03:00:00,2026-01-12 03:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,36,1,False,1,100.0,142.42,142.42,142.49121,0.057422,2.4,2.215368,0.3,2.038779,14.7147,True,EXECUTED
2026-01-12 16:00:00,2026-01-12 16:00:00,2026-01-12 16:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,37,1,False,1,100.0,142.58,142.58,142.65129,0.051673,2.4,2.232945,0.3,2.271178,13.209,True,EXECUTED
2026-01-15 13:00:00,2026-01-15 13:00:00,2026-01-15 13:00:00,0.0,0.0,LINKUSDT,IGNITION,16,1,False,1,100.0,14.09,14.09,14.097045,0.051284,2.2,2.083833,0.3,2.868686,10.4578,True,EXECUTED
2026-01-18 09:00:00,2026-01-18 09:00:00,2026-01-18 09:00:00,0.0,0.0,LINKUSDT,IGNITION,17,1,False,1,100.0,13.76,13.76,13.76688,0.096185,2.2,1.891029,0.3,0.978776,30.6505,False,PORTFOLIO_OR_ACCOUNT_LIMIT_NOT_RECORDED
2026-01-18 22:00:00,2026-01-18 22:00:00,2026-01-18 22:00:00,0.0,0.0,LINKUSDT,IGNITION,19,1,False,1,100.0,13.83,13.84,13.84692,0.21163,2.2,1.699439,0.3,1.327535,22.5983,False,PORTFOLIO_OR_ACCOUNT_LIMIT_NOT_RECORDED
2026-02-26 10:00:00,2026-02-26 10:00:00,2026-02-26 10:00:00,0.0,0.0,LINKUSDT,IGNITION,20,1,False,1,100.0,9.3,9.3,9.30465,0.03667,2.2,2.107007,0.3,3.623408,8.2795,True,EXECUTED
2026-03-05 15:00:00,2026-03-05 15:00:00,2026-03-05 15:00:00,0.0,0.0,LINKUSDT,IGNITION,22,1,False,1,100.0,9.39,9.39,9.394695,0.036905,2.2,2.099975,0.3,3.357443,8.9354,True,EXECUTED
2026-03-10 16:00:00,2026-03-10 16:00:00,2026-03-10 16:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,38,1,False,1,100.0,88.33,88.34,88.38417,0.04689,2.4,2.247715,0.3,3.075725,9.7538,True,EXECUTED
2026-03-13 13:00:00,2026-03-13 13:00:00,2026-03-13 13:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,39,1,False,1,100.0,91.0,91.0,91.0455,0.043262,2.4,2.273873,0.3,3.063299,9.7934,True,EXECUTED
2026-03-15 00:00:00,2026-03-15 00:00:00,2026-03-15 00:00:00,0.0,0.0,LINKUSDT,IGNITION,23,1,False,1,100.0,9.17,9.17,9.174585,0.066631,2.2,2.077158,0.3,2.704108,11.0942,True,EXECUTED
