decision_time,symbol,route,valid,score,failed_checks
2026-05-24 14:00:00,ETHUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|asset_shock|trend_structure|breakout|momentum|candle_quality
2026-05-24 14:00:00,SOLUSDT,IGNITION,False,42.0,market_state|asset_shock|base_structure|reclaim
2026-05-24 14:00:00,SOLUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|asset_shock|trend_structure|breakout|momentum|candle_quality
2026-05-24 14:00:00,XRPUSDT,IGNITION,False,33.0,market_state|asset_shock|base_structure|reclaim|volume|relative_strength
2026-05-24 14:00:00,XRPUSDT,ADAPTIVE_BREAKOUT,False,16.0,market_state|asset_shock|trend_structure|breakout|momentum|candle_quality|volume|relative_strength
2026-05-24 14:00:00,LINKUSDT,IGNITION,False,37.0,market_state|asset_shock|base_structure|reclaim|volume
2026-05-24 14:00:00,LINKUSDT,ADAPTIVE_BREAKOUT,False,16.0,market_state|asset_shock|trend_structure|breakout|momentum|candle_quality|volume|rsi
2026-05-24 14:00:00,DOGEUSDT,IGNITION,False,42.0,market_state|base_structure|reclaim|acceleration
2026-05-24 14:00:00,DOGEUSDT,ADAPTIVE_BREAKOUT,False,30.0,market_state|trend_structure|breakout|momentum|candle_quality|volume
2026-05-24 15:00:00,BTCUSDT,IGNITION,False,52.0,market_state|base_structure|reclaim
2026-05-24 15:00:00,BTCUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|candle_quality|rsi
2026-05-24 15:00:00,ETHUSDT,IGNITION,False,32.0,market_state|base_structure|reclaim|higher_low|acceleration
2026-05-24 15:00:00,ETHUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|candle_quality|rsi
2026-05-24 15:00:00,SOLUSDT,IGNITION,False,42.0,market_state|base_structure|reclaim|acceleration
2026-05-24 15:00:00,SOLUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|candle_quality|rsi
2026-05-24 15:00:00,XRPUSDT,IGNITION,False,38.0,market_state|base_structure|reclaim|acceleration|relative_strength
2026-05-24 15:00:00,XRPUSDT,ADAPTIVE_BREAKOUT,False,28.0,market_state|trend_structure|breakout|momentum|candle_quality|rsi|relative_strength
2026-05-24 15:00:00,LINKUSDT,IGNITION,False,42.0,market_state|base_structure|reclaim|acceleration
2026-05-24 15:00:00,LINKUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|candle_quality|rsi
2026-05-24 15:00:00,DOGEUSDT,IGNITION,False,38.0,market_state|base_structure|reclaim|acceleration|relative_strength
2026-05-24 15:00:00,DOGEUSDT,ADAPTIVE_BREAKOUT,False,28.0,market_state|trend_structure|breakout|momentum|candle_quality|rsi|relative_strength
2026-05-24 16:00:00,BTCUSDT,IGNITION,False,32.0,market_state|base_structure|reclaim|higher_low|acceleration
2026-05-24 16:00:00,BTCUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|rsi
2026-05-24 16:00:00,ETHUSDT,IGNITION,False,27.0,market_state|base_structure|reclaim|higher_low|acceleration|volume
2026-05-24 16:00:00,ETHUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|rsi
