signal_first_true_time,signal_evaluated_time,order_fill_time,signal_first_true_to_fill_hours,signal_evaluation_to_fill_minutes,symbol,route,quality_episode_id,emission_number_in_same_episode,stale_same_episode_retrigger,selection_rank,selection_score,raw_signal_close,raw_next_candle_open,slipped_entry_price,opening_gap_atr,theoretical_rr_at_signal_close,actual_rr_after_gap_and_slippage,estimated_round_trip_cost_percent,gross_projected_target_move_percent,cost_as_percent_of_projected_target_move,actual_trade_entered,entry_or_reject_reason,decision_time,market_state,relative_strength_percentile,setup_score,selection_score_signal,candidate_emitted_after_route_cooldown,entry_time,exit_time,profit,exit_reason,buy_fee,sell_fees,partial_profit_taken,target_move_to_round_trip_cost_multiple,winner,loser,holding_hours,stop_type_exit,month
2026-01-15 13:00:00,2026-01-15 13:00:00,2026-01-15 13:00:00,0.0,0.0,LINKUSDT,IGNITION,16,1,False,1,100.0,14.09,14.09,14.097045,0.051284,2.2,2.083833,0.3,2.868686,10.4578,True,EXECUTED,2026-01-15 13:00:00,STRONG_BULL,66.6667,99.0,100.0,True,2026-01-15 13:00:00,2026-01-15 14:45:00,-18.83121406,MARKET SEVERE SHOCK,2.17326553,2.15876635,False,9.562286666666667,False,True,1.75,False,2026-01
2026-02-26 10:00:00,2026-02-26 10:00:00,2026-02-26 10:00:00,0.0,0.0,LINKUSDT,IGNITION,20,1,False,1,100.0,9.3,9.3,9.30465,0.03667,2.2,2.107007,0.3,3.623408,8.2795,True,EXECUTED,2026-02-26 10:00:00,BULL,100.0,100.0,100.0,True,2026-02-26 10:00:00,2026-02-26 15:00:00,-25.61774201,STOP LOSS,1.30233269,1.27929658,False,12.078026666666666,False,True,5.0,True,2026-02
2026-03-05 15:00:00,2026-03-05 15:00:00,2026-03-05 15:00:00,0.0,0.0,LINKUSDT,IGNITION,22,1,False,1,100.0,9.39,9.39,9.394695,0.036905,2.2,2.099975,0.3,3.357443,8.9354,True,EXECUTED,2026-03-05 15:00:00,STRONG_BULL,100.0,100.0,100.0,True,2026-03-05 15:00:00,2026-03-05 15:15:00,-27.36595827,MARKET SEVERE SHOCK,1.86293778,1.83927404,False,11.191476666666667,False,True,0.25,False,2026-03
2026-03-10 16:00:00,2026-03-10 16:00:00,2026-03-10 16:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,38,1,False,1,100.0,88.33,88.34,88.38417,0.04689,2.4,2.247715,0.3,3.075725,9.7538,True,EXECUTED,2026-03-10 16:00:00,BULL,66.6667,100.0,100.0,True,2026-03-10 16:00:00,2026-03-10 18:15:00,-26.31266325,STOP LOSS,1.62798014,1.60490036,False,10.252416666666667,False,True,2.25,True,2026-03
2026-03-13 13:00:00,2026-03-13 13:00:00,2026-03-13 13:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,39,1,False,1,100.0,91.0,91.0,91.0455,0.043262,2.4,2.273873,0.3,3.063299,9.7934,True,EXECUTED,2026-03-13 13:00:00,STRONG_BULL,83.3333,100.0,100.0,True,2026-03-13 13:00:00,2026-03-13 15:00:00,-2.20279538,STOP LOSS,2.19894887,2.20114617,False,10.210996666666668,False,True,2.0,True,2026-03
2026-03-15 00:00:00,2026-03-15 00:00:00,2026-03-15 00:00:00,0.0,0.0,LINKUSDT,IGNITION,23,1,False,1,100.0,9.17,9.17,9.174585,0.066631,2.2,2.077158,0.3,2.704108,11.0942,True,EXECUTED,2026-03-15 00:00:00,BULL,100.0,100.0,100.0,True,2026-03-15 00:00:00,2026-03-15 13:15:00,-1.70925618,STOP LOSS,1.70627148,1.70797647,False,9.013693333333334,False,True,13.25,True,2026-03
2026-03-15 22:00:00,2026-03-15 22:00:00,2026-03-15 22:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,40,1,False,1,100.0,90.0,90.0,90.045,0.064268,2.4,2.295572,0.3,3.735115,8.0319,True,EXECUTED,2026-03-15 22:00:00,STRONG_BULL,100.0,100.0,100.0,True,2026-03-15 22:00:00,2026-03-16 01:15:00,33.35905525,STOP LOSS,1.81992373,1.85695967,True,12.450383333333333,True,False,3.25,True,2026-03
2026-03-16 21:00:00,2026-03-16 21:00:00,2026-03-16 21:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,41,1,False,1,100.0,95.78,95.77,95.817885,0.035294,2.4,2.284091,0.3,2.649089,11.3246,True,EXECUTED,2026-03-16 21:00:00,STRONG_BULL,83.3333,100.0,100.0,True,2026-03-16 21:00:00,2026-03-16 23:15:00,-2.4803293,STOP LOSS,2.47599816,2.4784723,False,8.830296666666667,False,True,2.25,True,2026-03
2026-03-17 19:00:00,2026-03-17 19:00:00,2026-03-17 19:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,42,1,False,1,100.0,95.32,95.33,95.377665,0.053902,2.4,2.226107,0.3,2.631527,11.4002,True,EXECUTED,2026-03-17 19:00:00,STRONG_BULL,83.3333,100.0,100.0,True,2026-03-17 19:00:00,2026-03-18 00:30:00,-35.4052885,STOP LOSS,2.47537807,2.44489306,False,8.771756666666668,False,True,5.5,True,2026-03
2026-03-24 08:00:00,2026-03-24 08:00:00,2026-03-24 08:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,43,1,False,1,100.0,91.72,91.71,91.755855,0.037779,2.4,2.276228,0.3,2.443358,12.2782,True,EXECUTED,2026-03-24 08:00:00,BULL,83.3333,100.0,100.0,True,2026-03-24 08:00:00,2026-03-24 13:45:00,-27.33449558,STOP LOSS,2.06803034,2.04480868,False,8.144526666666668,False,True,5.75,True,2026-03
2026-03-25 20:00:00,2026-03-25 20:00:00,2026-03-25 20:00:00,0.0,0.0,LINKUSDT,IGNITION,26,1,False,1,100.0,9.35,9.35,9.354675,0.051147,2.2,2.027922,0.3,1.884638,15.9182,True,EXECUTED,2026-03-25 20:00:00,BULL,66.6667,95.0,100.0,True,2026-03-25 20:00:00,2026-03-26 02:45:00,-28.05792043,STOP LOSS,2.38202723,2.35871005,False,6.282126666666667,False,True,6.75,True,2026-03
2026-04-09 18:00:00,2026-04-09 18:00:00,2026-04-09 18:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,45,1,False,1,100.0,84.65,84.65,84.692325,0.053981,2.4,2.24405,0.3,2.445005,12.2699,True,EXECUTED,2026-04-09 18:00:00,BULL,100.0,100.0,100.0,True,2026-04-09 18:00:00,2026-04-09 18:30:00,-27.10495435,STOP LOSS,2.02598385,2.00290779,False,8.150016666666668,False,True,0.5,True,2026-04
2026-04-10 05:00:00,2026-04-10 05:00:00,2026-04-10 05:00:00,0.0,0.0,LINKUSDT,IGNITION,27,1,False,1,100.0,8.97,8.97,8.974485,0.051875,2.2,2.025609,0.3,1.857522,16.1505,True,EXECUTED,2026-04-10 05:00:00,STRONG_BULL,100.0,95.0,100.0,True,2026-04-10 05:00:00,2026-04-10 08:00:00,-28.50929304,STOP LOSS,2.44590241,2.42226128,False,6.19174,False,True,3.0,True,2026-04
2026-04-10 13:00:00,2026-04-10 13:00:00,2026-04-10 13:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,46,1,False,1,100.0,84.11,84.11,84.152055,0.060767,2.4,2.216046,0.3,2.046925,14.6561,True,EXECUTED,2026-04-10 13:00:00,STRONG_BULL,83.3333,100.0,100.0,True,2026-04-10 13:00:00,2026-04-10 16:00:00,-2.44304111,STOP LOSS,2.43877509,2.44121203,False,6.823083333333333,False,True,3.0,True,2026-04
2026-04-21 16:00:00,2026-04-21 16:00:00,2026-04-21 16:00:00,0.0,0.0,LINKUSDT,IGNITION,30,1,False,1,100.0,9.42,9.42,9.42471,0.055921,2.2,2.051588,0.3,2.21067,13.5705,True,EXECUTED,2026-04-21 16:00:00,BULL,100.0,100.0,100.0,True,2026-04-21 16:00:00,2026-04-21 17:15:00,-27.00065669,STOP LOSS,2.03644009,2.01348936,False,7.3689,False,True,1.25,True,2026-04
2026-04-22 03:00:00,2026-04-22 03:00:00,2026-04-22 03:00:00,0.0,0.0,SOLUSDT,ADAPTIVE_BREAKOUT,50,1,False,1,100.0,87.42,87.42,87.46371,0.057617,2.4,2.255558,0.3,2.653342,11.3065,True,EXECUTED,2026-04-22 03:00:00,STRONG_BULL,66.6667,100.0,100.0,True,2026-04-22 03:00:00,2026-04-22 17:00:00,-2.43566731,STOP LOSS,2.43141416,2.43384375,False,8.844473333333333,False,True,14.0,True,2026-04
2026-04-26 15:00:00,2026-04-26 15:00:00,2026-04-26 15:00:00,0.0,0.0,LINKUSDT,IGNITION,33,1,False,1,100.0,9.48,9.48,9.48474,0.099818,2.2,2.039045,0.3,2.025929,14.808,True,EXECUTED,2026-04-26 15:00:00,STRONG_BULL,83.3333,100.0,100.0,True,2026-04-26 15:00:00,2026-04-27 01:30:00,-2.43505733,STOP LOSS,2.43080524,2.43323423,False,6.753096666666667,False,True,10.5,True,2026-04
