window,symbol,route,entry_time,exit_time,exit_reason,profit,realized_r,strict_mfe_r,strict_mae_r,strict_mfe_percent,strict_mae_percent,reached_0_5r,reached_1r,reached_2r,partial_profit_taken,bars_before_exit
2023,LINKUSDT,IGNITION,2023-04-14 20:00:00,2023-04-15 01:15:00,STOP LOSS,-26.49745927,-0.9163693518994278,0.34469196918600903,0.8589176428139005,0.6715927842447238,1.6735025551553133,False,False,False,False,21
2023,LINKUSDT,IGNITION,2023-04-16 21:00:00,2023-04-17 00:45:00,MARKET SEVERE SHOCK,-22.88791654,-0.7937214799906206,0.581638419515224,1.2110953362432737,1.0730589761299174,2.2343378255309863,True,False,False,False,15
2023,LINKUSDT,IGNITION,2023-04-19 00:00:00,2023-04-19 02:15:00,STOP LOSS,-34.70597335,-1.206428230881466,0.17167186451192767,1.001175270372778,0.2063668562081777,1.2035134216524308,False,False,False,False,9
2023,SOLUSDT,ADAPTIVE_BREAKOUT,2023-04-26 09:00:00,2023-04-26 14:30:00,STOP LOSS,24.88144388,1.1574073854812226,2.9652467494713015,0.24524114395943886,3.3236756959054126,0.2748850597203618,True,True,True,True,22
2023,SOLUSDT,ADAPTIVE_BREAKOUT,2023-04-28 11:00:00,2023-04-28 13:45:00,STOP LOSS,-41.60357357,-1.4476816223222089,0.17276738589221177,1.8512262418656862,0.21432650796681924,2.2965379364086145,False,False,False,False,11
2023,LINKUSDT,IGNITION,2023-04-30 09:00:00,2023-04-30 12:45:00,STOP LOSS,-12.5455854,-0.5846047974493206,0.5535199319434869,0.38905798285939575,0.6425833646369717,0.45165887122957016,True,False,False,False,15
2023,LINKUSDT,IGNITION,2023-05-29 23:00:00,2023-05-30 04:45:00,HARD DRAWDOWN LOCK,-27.88991781,-1.0401546001700384,0.42330008506489786,0.8194010501225498,0.47663207384716405,0.9226381841444177,False,False,False,False,23
2024,SOLUSDT,ADAPTIVE_BREAKOUT,2024-01-27 15:00:00,2024-01-28 17:30:00,STOP LOSS,68.61341028,3.083632996280604,6.737394431641872,0.5166155850954415,7.263441450006708,0.5569522598942235,True,True,True,True,106
2024,SOLUSDT,ADAPTIVE_BREAKOUT,2024-01-30 11:00:00,2024-01-30 12:45:00,STOP LOSS,-2.27028478,-0.07599630441949307,1.5110342555395888,0.29243466748389024,1.9917776797800415,0.38547428117724125,True,True,False,False,7
2024,LINKUSDT,IGNITION,2024-01-30 14:00:00,2024-01-30 23:00:00,STOP LOSS,52.06121663,1.7431127715001322,3.6250039679894366,0.3677446584086293,4.6027112255023335,0.46692982471815364,True,True,True,True,36
2024,LINKUSDT,IGNITION,2024-01-31 16:00:00,2024-01-31 20:15:00,STOP LOSS,-24.02042985,-1.0667570277166367,0.6390039016738166,1.0690782946921396,0.9426531959383215,1.5770953331584796,True,False,False,False,17
2024,LINKUSDT,IGNITION,2024-02-03 11:00:00,2024-02-03 18:00:00,STOP LOSS,-19.79220927,-0.881094853106617,0.11809773055543145,0.9426406757050675,0.24919362279948754,1.9890309819869723,False,False,False,False,28
2024,LINKUSDT,IGNITION,2024-02-04 12:00:00,2024-02-04 19:15:00,STOP LOSS,-0.36179167,-0.01613796538878009,1.1349521026069926,0.2677447210518946,2.988320807380865,0.7049699446768818,True,True,False,False,29
