trade_number,symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,final_stop,initial_quantity,partial_quantity,entry_notional,account_risk_percent,setup_score,entry_reward_risk,route,buy_fee,sell_fees,partial_profit_taken,profit,profit_percent,exit_reason,cash_after_trade,total_fees,hold_hours,period,month,feature_time,close,EMA20,EMA50,EMA200,RSI14,ADX14,ATR14,VOLUME_RATIO,MOMENTUM_24H,MOMENTUM_72H,EMA50_SLOPE_12H,daily_close,daily_ema20,daily_ema50,daily_momentum_20d,daily_ema20_slope_3d,daily_macro_bull,daily_recovery,hourly_stack,ema20_extension_percent,ema200_distance_percent,momentum_confirmed,trend_quality,strict_macro_trend,winner
22,LINKUSDT,2026-01-15 13:00:00,2026-01-15 14:45:00,14.097045,14.002995,13.90297959,13.90297959,154.16461636,0.0,2173.2655343,0.3,99.0,2.0838,IGNITION,2.17326553,2.15876635,False,-18.83121406,-0.8656,MARKET SEVERE SHOCK,9953.84198412,4.332031880000001,1.75,DEVELOPMENT,2026-01,2026-01-15 13:00:00,14.09,13.99227097314772,13.880042628606187,13.512148610728536,55.78171001083562,20.958020923868958,0.13737135980868412,0.6579745699312526,1.076040172166426,7.1482889733840205,0.28133318217595793,14.09,13.273542449160017,13.554216014081799,16.062602965403627,1.3823896707431116,False,True,True,0.6984500731856141,4.276532222363618,True,False,False,False
23,LINKUSDT,2026-02-26 10:00:00,2026-02-26 15:00:00,9.30465,9.14006612,9.14463844,9.14463844,139.96579051,0.0,1302.33269271,0.225,100.0,2.107,IGNITION,1.30233269,1.27929658,False,-25.61774201,-1.9651,STOP LOSS,9928.22424211,2.58162927,5.0,DEVELOPMENT,2026-02,2026-02-26 10:00:00,9.3,9.180574216489129,8.909243206428119,8.715095035135212,62.43558944491535,36.82740455765857,0.1268077991947472,0.7867946934585949,8.391608391608397,9.154929577464799,2.4852361675516077,9.42,9.033909953478359,10.278508350155942,17.16417910447763,-1.335699229516596,False,False,True,1.3008530914806233,6.711400879815124,True,False,False,False
24,LINKUSDT,2026-03-05 15:00:00,2026-03-05 15:15:00,9.394695,9.27536,9.2444925,9.2444925,198.2967817,0.0,1862.93778358,0.3,100.0,2.1,IGNITION,1.86293778,1.83927404,False,-27.36595827,-1.4675,MARKET SEVERE SHOCK,9900.85828384,3.70221182,0.25,DEVELOPMENT,2026-03,2026-03-05 15:00:00,9.39,9.327184990274956,9.183684894907705,8.931591454325398,56.43985794298054,28.444938783308825,0.1272192186981358,2.07533626021509,2.0652173913043637,5.98194130925509,1.081840830691716,9.36,8.989146955638263,9.949818324510815,11.827956989247323,0.37003384009912654,False,True,True,0.673461604873698,5.132439700347067,True,True,False,False
25,SOLUSDT,2026-03-10 16:00:00,2026-03-10 18:15:00,88.38417,87.1311526,87.17473997,87.17473997,18.41936338,0.0,1627.98014409,0.225,100.0,2.2477,ADAPTIVE_BREAKOUT,1.62798014,1.60490036,False,-26.31266325,-1.6147,STOP LOSS,9874.54562059,3.2328805000000003,2.25,DEVELOPMENT,2026-03,2026-03-10 16:00:00,88.33,86.46924836556629,85.37158422927659,85.23442317345577,67.72939841187032,32.35486916929401,1.1552600265199888,1.8079209690724398,3.8565549676660815,5.468656716417919,1.1715318926739604,85.74,86.12034150485368,96.06376883014688,0.8112874779541368,-0.9887391665693301,False,False,True,2.15192298950837,3.6318387704045323,True,True,False,False
26,SOLUSDT,2026-03-13 13:00:00,2026-03-13 15:00:00,91.0455,91.13647722,89.81895996,91.18206825,24.15219718,0.0,2198.94886827,0.3,100.0,2.2739,ADAPTIVE_BREAKOUT,2.19894887,2.20114617,False,-2.20279538,-0.1001,STOP LOSS,9872.34282521,4.40009504,2.0,DEVELOPMENT,2026-03,2026-03-13 13:00:00,91.0,88.80340534478577,87.58721490843023,86.14373612689295,67.68329035738012,22.089890832440886,1.0517333977626835,1.338142745882266,4.297994269340966,4.959630911188007,1.4502337768725226,86.3,86.1715346487195,94.95993169367704,2.0215155455727496,0.05944373068114128,False,True,True,2.473547772955087,5.637396392877127,True,True,False,False
27,LINKUSDT,2026-03-15 00:00:00,2026-03-15 13:15:00,9.174585,9.1837527,9.05514741,9.18834688,185.97805569,0.0,1706.2714801,0.225,100.0,2.0772,IGNITION,1.70627148,1.70797647,False,-1.70925618,-0.1001,STOP LOSS,9870.63356903,3.41424795,13.25,DEVELOPMENT,2026-03,2026-03-15 00:00:00,9.17,9.054992665892021,9.072350415619384,9.000772197714191,62.1918260808194,14.21619996679577,0.06881203520396,2.1398065439190166,0.9911894273127775,2.0022246941045596,-0.2023130608329926,9.07,8.966940956550163,9.617134376661927,4.252873563218396,0.3331611012603819,False,True,False,1.2700985892698056,1.8801475981003637,True,False,False,False
28,SOLUSDT,2026-03-15 22:00:00,2026-03-16 01:15:00,90.045,91.5270037,88.57988168,91.57279009,20.21126915,5.05281729,1819.92373065,0.3,100.0,2.2956,ADAPTIVE_BREAKOUT,1.81992373,1.85695967,True,33.35905525,1.8312,STOP LOSS,9903.99262428,3.6768834,3.25,DEVELOPMENT,2026-03,2026-03-15 22:00:00,90.0,88.27925458459542,88.0215954210677,86.97235816642822,68.60341927943453,23.982700133585716,0.7001972003598967,2.2729519947247114,3.1164069660861493,3.9981511439796558,0.23565956664102217,87.31,86.43837643579987,94.39807612322899,4.475290175900448,0.325407294333524,False,True,True,1.9492070062232338,3.481154124599169,True,True,False,True
29,SOLUSDT,2026-03-16 21:00:00,2026-03-16 23:15:00,95.817885,95.91363102,94.70658914,95.96161183,25.84066801,0.0,2475.99815607,0.29,100.0,2.2841,ADAPTIVE_BREAKOUT,2.47599816,2.4784723,False,-2.4803293,-0.1001,STOP LOSS,9901.51229499,4.95447046,2.25,DEVELOPMENT,2026-03,2026-03-16 21:00:00,95.78,93.39135402906054,91.41815482850126,88.31639770201942,75.1853334755575,44.189824892544166,1.0734108586758158,0.674913096974477,7.908968003605232,7.726914857721301,1.8519028208441979,92.64,87.02900725143797,94.32913196153373,18.374648607206744,0.9950763975760557,False,True,True,2.557673561726271,8.450981349084085,True,False,False,False
30,SOLUSDT,2026-03-17 19:00:00,2026-03-18 00:30:00,95.377665,94.20306068,94.25018577,94.25018577,25.95343547,0.0,2475.37807375,0.2955,100.0,2.2261,ADAPTIVE_BREAKOUT,2.47537807,2.44489306,False,-35.4052885,-1.4289,STOP LOSS,9866.10700648,4.92027113,5.5,DEVELOPMENT,2026-03,2026-03-17 19:00:00,95.32,94.25613536908222,93.19446145703552,89.54431445122378,61.168913727664375,23.8486759271357,1.0698142252713707,0.8474411855520172,0.9959737232464461,9.512867647058808,0.6588746859847783,96.37,87.91862560844389,94.4091660022579,21.86393525543755,1.8205679638502836,False,True,True,1.1286953647653424,6.4500862887529475,True,False,False,False
31,SOLUSDT,2026-03-24 08:00:00,2026-03-24 13:45:00,91.755855,90.72553987,90.77092533,90.77092533,22.53840192,0.0,2068.0303389,0.225,100.0,2.2762,ADAPTIVE_BREAKOUT,2.06803034,2.04480868,False,-27.33449558,-1.3204,STOP LOSS,9838.7725109,4.11283902,5.75,DEVELOPMENT,2026-03,2026-03-24 08:00:00,91.72,90.30349546705406,89.395361224863,89.34334993898658,64.091344897207,25.020406448921843,0.9490746697773023,0.9664908981750534,6.663565530875681,1.7754105636928585,1.0254065475687968,91.52,89.03146518458121,93.39288533318025,6.060957237223308,0.1642475576943525,False,True,True,1.5686043221468957,2.660130902452682,True,True,False,False
32,LINKUSDT,2026-03-25 20:00:00,2026-03-26 02:45:00,9.354675,9.26310398,9.26773785,9.26773785,254.63495354,0.0,2382.02723396,0.225,95.0,2.0279,IGNITION,2.38202723,2.35871005,False,-28.05792043,-1.1767,STOP LOSS,9810.71459047,4.740737279999999,6.75,DEVELOPMENT,2026-03,2026-03-25 20:00:00,9.35,9.329288535109628,9.223249986717043,9.144094776644817,55.310165997555494,19.518395418717688,0.09140239324708703,0.6673832583965589,3.3149171270718147,7.471264367816088,1.0816897028419703,9.2,9.125163882452958,9.497993855265047,-1.7094017094017144,-0.3556969425930534,False,False,True,0.2220047628758276,2.2517835650729583,True,False,False,False
33,SOLUSDT,2026-04-09 18:00:00,2026-04-09 18:30:00,84.692325,83.72767496,83.76955974,83.76955974,23.92169365,0.0,2025.98385323,0.225,100.0,2.2441,ADAPTIVE_BREAKOUT,2.02598385,2.00290779,False,-27.10495435,-1.3365,STOP LOSS,9783.60963612,4.028891639999999,0.5,DEVELOPMENT,2026-04,2026-04-09 18:00:00,84.65,82.88361428078905,82.64580258524705,82.08315160656362,68.30484449866424,17.635296114870414,0.7840670977098703,2.0832576499259225,0.8098130284625471,3.6869181773640403,0.11947263198961444,82.63,83.74996962972085,88.39118106038664,-6.906264082920243,-0.413211791313739,False,False,True,2.1311639635150126,3.127131869570094,True,False,False,False
34,LINKUSDT,2026-04-10 05:00:00,2026-04-10 08:00:00,8.974485,8.88774116,8.89218726,8.89218726,272.53958406,0.0,2445.90240903,0.2293,95.0,2.0256,IGNITION,2.44590241,2.42226128,False,-28.50929304,-1.1644,STOP LOSS,9755.10034308,4.868163689999999,3.0,DEVELOPMENT,2026-04,2026-04-10 05:00:00,8.97,8.933587075283727,8.92346511224257,8.850798985206938,54.52396696457274,20.725574678382998,0.0864586041279534,0.3599019655500724,2.3972602739726234,1.8161180476730987,0.3596584127768532,9.02,8.890978565119916,9.172956445608245,-1.2048192771084487,0.6071903641503562,False,False,True,0.40759578889667014,1.346782533331663,True,False,False,False
35,SOLUSDT,2026-04-10 13:00:00,2026-04-10 16:00:00,84.152055,84.23614394,83.37475661,84.27828308,28.98057672,0.0,2438.77508577,0.2309,100.0,2.216,ADAPTIVE_BREAKOUT,2.43877509,2.44121203,False,-2.44304111,-0.1001,STOP LOSS,9752.65730197,4.87998712,3.0,DEVELOPMENT,2026-04,2026-04-10 13:00:00,84.11,83.36114947995452,83.08442162671281,82.32740175461839,59.95448531124741,21.06357677344107,0.692072324207898,1.575033444619945,2.2241127856100995,6.280010108668188,0.17960985710820943,83.99,83.77282966498554,88.21858572468521,-6.7813540510543895,0.059008767672041884,False,False,True,0.8983207701874989,2.165255075940262,True,True,False,False
36,LINKUSDT,2026-04-21 16:00:00,2026-04-21 17:15:00,9.42471,9.3184933,9.32315488,9.32315488,216.07456241,0.0,2036.4400891,0.225,100.0,2.0516,IGNITION,2.03644009,2.01348936,False,-27.00065669,-1.3246,STOP LOSS,9725.65664528,4.0499294500000005,1.25,DEVELOPMENT,2026-04,2026-04-21 16:00:00,9.42,9.359174204217496,9.315454476393223,9.249358828411644,60.65614411397011,26.54313923995364,0.08422561885658894,0.7671726494049194,1.6181229773462924,0.4264392324093702,0.4952681022206029,9.32,9.136364280751154,9.197293294926679,6.514285714285717,0.39984939814869946,False,True,True,0.6499055841389778,1.8448973031967377,True,False,False,False
37,SOLUSDT,2026-04-22 03:00:00,2026-04-22 17:00:00,87.46371,87.55110811,86.43482445,87.59490556,27.7991199,0.0,2431.41416132,0.2941,100.0,2.2556,ADAPTIVE_BREAKOUT,2.43141416,2.43384375,False,-2.43566731,-0.1001,STOP LOSS,9723.22097797,4.86525791,14.0,DEVELOPMENT,2026-04,2026-04-22 03:00:00,87.42,85.83346271662742,85.67444841889258,85.50651766455746,66.56035161844969,14.699465694133181,0.7586259244283104,2.4639008199947354,2.5214026034947823,2.209750964573831,0.09941657942231785,85.36,85.0930654411383,87.21475482920917,5.162005667118397,-0.04033014196044293,False,False,True,1.8483901652790236,2.2378204465642484,True,False,False,False
38,LINKUSDT,2026-04-26 15:00:00,2026-04-27 01:30:00,9.48474,9.49421763,9.39050269,9.49896711,256.28591237,0.0,2430.80524449,0.2484,100.0,2.039,IGNITION,2.43080524,2.43323423,False,-2.43505733,-0.1001,STOP LOSS,9720.78592064,4.86403947,10.5,DEVELOPMENT,2026-04,2026-04-26 15:00:00,9.48,9.405060483043966,9.380200141920788,9.330627435145109,67.13641823144548,27.801598277068713,0.04748656603761982,1.9436213614471727,1.0660980810234477,1.4989293361884481,0.2899262997110075,9.34,9.217196552975466,9.22329146863064,7.2330654420206475,0.4839349893699607,False,True,True,0.7967999471256962,1.6008844624130931,True,True,False,False
