symbol,feature,window,bucket,trades,false_rate_pct,runner_rate_pct,median_mfe_r,avg_realized_r,net_pnl
SOLUSDT,adx14,2022,HIGH,3,33.33333333333333,33.33333333333333,1.1992378861258712,-0.13316034376328176,-9.685120400000002
SOLUSDT,adx14,2024,LOW,11,36.36363636363637,18.181818181818183,0.6037753406681253,-0.5546411475028813,-140.39779965999998
SOLUSDT,adx14,2024,MID,11,45.45454545454545,18.181818181818183,0.6677738488960842,-0.3764039458715974,-138.06205973
SOLUSDT,adx14,2024,HIGH,12,33.33333333333333,41.66666666666667,1.2833704180605023,0.6011625726986104,169.33400634999998
SOLUSDT,adx14,2025h1,LOW,7,14.285714285714285,28.57142857142857,1.1699920091559268,0.34158700072569587,74.54220335000001
SOLUSDT,adx14,2025h1,MID,7,14.285714285714285,42.857142857142854,1.6973702948349687,0.24911692843423533,32.81253794999999
SOLUSDT,adx14,2025h1,HIGH,8,62.5,0.0,0.17742926650834095,-0.8867412676611532,-184.03683084
SOLUSDT,ema50_slope_12h,2022,LOW,2,50.0,50.0,3.899160950156074,1.2961040124106296,47.06136826
SOLUSDT,ema50_slope_12h,2022,MID,3,66.66666666666666,33.33333333333333,0.4380288903231081,-0.5303185092358458,-34.488180639999996
SOLUSDT,ema50_slope_12h,2022,HIGH,3,33.33333333333333,0.0,1.1992378861258712,-1.289077561460713,-85.99647607
SOLUSDT,ema50_slope_12h,2024,LOW,11,27.27272727272727,36.36363636363637,1.1958193231320793,0.15931223960665586,33.29402141
SOLUSDT,ema50_slope_12h,2024,MID,11,45.45454545454545,9.090909090909092,0.6677738488960842,-0.4483154238906301,-150.11566252
SOLUSDT,ema50_slope_12h,2024,HIGH,12,41.66666666666667,33.33333333333333,1.236834758933623,0.012624156032314546,7.695788069999992
SOLUSDT,ema50_slope_12h,2025h1,LOW,7,28.57142857142857,28.57142857142857,0.6863094059905087,-0.5426493332485008,-92.11195471
SOLUSDT,ema50_slope_12h,2025h1,MID,7,14.285714285714285,28.57142857142857,1.3654458557871547,0.8304613420295316,145.47749639999998
SOLUSDT,ema50_slope_12h,2025h1,HIGH,8,50.0,12.5,0.5106125336009939,-0.6217108373296152,-130.04763123
SOLUSDT,momentum_72h,2022,LOW,2,100.0,0.0,0.4362929062408981,-1.2234047022943486,-53.49821007
SOLUSDT,momentum_72h,2022,MID,3,33.33333333333333,33.33333333333333,1.640360835227858,-0.018154096661504138,-2.338489580000001
SOLUSDT,momentum_72h,2022,HIGH,3,33.33333333333333,33.33333333333333,1.1992378861258712,-0.1215694975650693,-17.586588799999998
SOLUSDT,momentum_72h,2024,LOW,11,36.36363636363637,18.181818181818183,0.6037753406681253,-0.2046069200375218,-73.54060268999999
SOLUSDT,momentum_72h,2024,MID,11,36.36363636363637,36.36363636363637,1.3857026656857478,0.24459988750904163,67.29207965999998
SOLUSDT,momentum_72h,2024,HIGH,12,41.66666666666667,25.0,1.1324790673212504,-0.2889556497435551,-102.87733001
SOLUSDT,momentum_72h,2025h1,LOW,7,28.57142857142857,57.14285714285714,2.096920972233543,0.858512939443787,139.44527859
SOLUSDT,momentum_72h,2025h1,MID,7,28.57142857142857,14.285714285714285,0.6863094059905087,-0.5868799575602317,-87.89809086
