decision_time,state,score,btc_score,eth_score,breadth_score,new_entries_allowed,altcoins_allowed,risk_multiplier,reasons
2026-07-04 19:00:00,BULL,75.45,65.3,86.7,100.0,True,True,0.75,BTC composite 65.3 | ETH confirmation 86.7 | breadth 100.0
2026-07-04 20:00:00,BULL,74.33888888888889,65.3,86.7,94.44444444444444,True,True,0.75,BTC composite 65.3 | ETH confirmation 86.7 | breadth 94.4
2026-07-04 21:00:00,BULL,74.33888888888889,65.3,86.7,94.44444444444444,True,True,0.75,BTC composite 65.3 | ETH confirmation 86.7 | breadth 94.4
2026-07-04 22:00:00,BULL,74.33888888888889,65.3,86.7,94.44444444444444,True,True,0.75,BTC composite 65.3 | ETH confirmation 86.7 | breadth 94.4
2026-07-04 23:00:00,BULL,74.33888888888889,65.3,86.7,94.44444444444444,True,True,0.75,BTC composite 65.3 | ETH confirmation 86.7 | breadth 94.4
2026-07-05 00:00:00,BULL,77.3338888888889,68.8,91.5,94.44444444444444,True,True,0.75,BTC composite 68.8 | ETH confirmation 91.5 | breadth 94.4
2026-07-05 01:00:00,BULL,76.22277777777778,68.8,91.5,88.88888888888889,True,True,0.75,BTC composite 68.8 | ETH confirmation 91.5 | breadth 88.9
2026-07-05 02:00:00,BULL,76.22277777777778,68.8,91.5,88.88888888888889,True,True,0.75,BTC composite 68.8 | ETH confirmation 91.5 | breadth 88.9
2026-07-05 03:00:00,BULL,73.51166666666667,66.8,89.5,83.33333333333334,True,True,0.75,BTC composite 66.8 | ETH confirmation 89.5 | breadth 83.3
2026-07-05 04:00:00,BULL,74.81166666666667,68.8,89.5,83.33333333333334,True,True,0.75,BTC composite 68.8 | ETH confirmation 89.5 | breadth 83.3
2026-07-05 05:00:00,BULL,74.00055555555556,68.8,91.5,77.77777777777779,True,True,0.75,BTC composite 68.8 | ETH confirmation 91.5 | breadth 77.8
2026-07-05 06:00:00,BULL,74.00055555555556,68.8,91.5,77.77777777777779,True,True,0.75,BTC composite 68.8 | ETH confirmation 91.5 | breadth 77.8
2026-07-05 07:00:00,BULL,74.81166666666667,68.8,89.5,83.33333333333334,True,True,0.75,BTC composite 68.8 | ETH confirmation 89.5 | breadth 83.3
2026-07-05 08:00:00,BULL,76.22277777777778,68.8,91.5,88.88888888888889,True,True,0.75,BTC composite 68.8 | ETH confirmation 91.5 | breadth 88.9
2026-07-05 09:00:00,BULL,72.88944444444445,68.8,91.5,72.22222222222221,True,True,0.75,BTC composite 68.8 | ETH confirmation 91.5 | breadth 72.2
2026-07-05 10:00:00,BULL,68.31722222222223,66.8,84.5,61.111111111111114,True,True,0.75,BTC composite 66.8 | ETH confirmation 84.5 | breadth 61.1
2026-07-05 11:00:00,BULL,72.13944444444445,68.8,86.5,72.22222222222221,True,True,0.75,BTC composite 68.8 | ETH confirmation 86.5 | breadth 72.2
2026-07-05 12:00:00,BULL,71.28944444444444,66.8,89.5,72.22222222222221,True,True,0.75,BTC composite 66.8 | ETH confirmation 89.5 | breadth 72.2
2026-07-05 13:00:00,BULL,72.36944444444444,68.0,91.5,72.22222222222221,True,True,0.75,BTC composite 68.0 | ETH confirmation 91.5 | breadth 72.2
2026-07-05 14:00:00,BULL,75.01194444444444,72.25,90.7,72.22222222222221,True,True,0.75,BTC composite 72.2 | ETH confirmation 90.7 | breadth 72.2
2026-07-05 15:00:00,BULL,75.01194444444444,72.25,90.7,72.22222222222221,True,True,0.75,BTC composite 72.2 | ETH confirmation 90.7 | breadth 72.2
2026-07-05 16:00:00,BULL,66.08972222222224,64.25,80.7,61.111111111111114,True,True,0.75,BTC composite 64.2 | ETH confirmation 80.7 | breadth 61.1
2026-07-05 17:00:00,NEUTRAL,64.78972222222222,62.25,80.7,61.111111111111114,True,False,0.35,BTC composite 62.2 | ETH confirmation 80.7 | breadth 61.1
2026-07-05 18:00:00,NEUTRAL,64.00972222222222,61.05,80.7,61.111111111111114,True,False,0.35,BTC composite 61.0 | ETH confirmation 80.7 | breadth 61.1
2026-07-05 19:00:00,BULL,65.30972222222223,63.05,80.7,61.111111111111114,True,True,0.75,BTC composite 63.0 | ETH confirmation 80.7 | breadth 61.1
2026-07-05 20:00:00,BULL,65.30972222222223,63.05,80.7,61.111111111111114,True,True,0.75,BTC composite 63.0 | ETH confirmation 80.7 | breadth 61.1
2026-07-05 21:00:00,BULL,65.42972222222222,63.05,81.5,61.111111111111114,True,True,0.75,BTC composite 63.0 | ETH confirmation 81.5 | breadth 61.1
2026-07-05 22:00:00,BULL,66.54083333333334,63.05,81.5,66.66666666666666,True,True,0.75,BTC composite 63.0 | ETH confirmation 81.5 | breadth 66.7
2026-07-05 23:00:00,BULL,73.36527777777778,66.25,83.5,88.88888888888889,True,True,0.75,BTC composite 66.2 | ETH confirmation 83.5 | breadth 88.9
2026-07-06 00:00:00,BULL,78.46527777777777,72.25,91.5,88.88888888888889,True,True,0.75,BTC composite 72.2 | ETH confirmation 91.5 | breadth 88.9
2026-07-06 01:00:00,STRONG_BULL,80.6875,72.25,91.5,100.0,True,True,1.0,BTC composite 72.2 | ETH confirmation 91.5 | breadth 100.0
2026-07-06 02:00:00,STRONG_BULL,80.6875,72.25,91.5,100.0,True,True,1.0,BTC composite 72.2 | ETH confirmation 91.5 | breadth 100.0
2026-07-06 03:00:00,STRONG_BULL,80.6875,72.25,91.5,100.0,True,True,1.0,BTC composite 72.2 | ETH confirmation 91.5 | breadth 100.0
2026-07-06 04:00:00,STRONG_BULL,80.6875,72.25,91.5,100.0,True,True,1.0,BTC composite 72.2 | ETH confirmation 91.5 | breadth 100.0
2026-07-06 05:00:00,STRONG_BULL,80.6875,72.25,91.5,100.0,True,True,1.0,BTC composite 72.2 | ETH confirmation 91.5 | breadth 100.0
2026-07-06 06:00:00,BULL,78.04527777777778,72.25,88.7,88.88888888888889,True,True,0.75,BTC composite 72.2 | ETH confirmation 88.7 | breadth 88.9
2026-07-06 07:00:00,BULL,75.63416666666667,70.25,88.7,83.33333333333334,True,True,0.75,BTC composite 70.2 | ETH confirmation 88.7 | breadth 83.3
2026-07-06 08:00:00,BULL,79.15638888888888,72.25,88.7,94.44444444444444,True,True,0.75,BTC composite 72.2 | ETH confirmation 88.7 | breadth 94.4
2026-07-06 09:00:00,BULL,72.92305555555556,68.25,86.7,77.77777777777779,True,True,0.75,BTC composite 68.2 | ETH confirmation 86.7 | breadth 77.8
2026-07-06 10:00:00,BULL,75.00138888888888,66.55,85.7,94.44444444444444,True,True,0.75,BTC composite 66.5 | ETH confirmation 85.7 | breadth 94.4
2026-07-06 11:00:00,BULL,75.00138888888888,66.55,85.7,94.44444444444444,True,True,0.75,BTC composite 66.5 | ETH confirmation 85.7 | breadth 94.4
2026-07-06 12:00:00,NEUTRAL,64.96805555555555,58.55,75.7,77.77777777777779,True,False,0.35,BTC composite 58.5 | ETH confirmation 75.7 | breadth 77.8
2026-07-06 13:00:00,NEUTRAL,56.8125,54.55,75.7,50.0,True,False,0.35,BTC composite 54.5 | ETH confirmation 75.7 | breadth 50.0
