open_time,symbol,rank,regime,regime_score,relative_score,momentum_24h,momentum_72h,selected,capital_percent,portfolio_deployed_percent
2026-06-16 17:00:00,XRPUSDT,5,ACTIVE,66.0,48.87,-4.7504,6.7209,False,0.0,50.0
2026-06-16 17:00:00,DOGEUSDT,6,SLEEP,0.0,12.5,-2.7096,-0.4223,False,0.0,50.0
2026-06-16 18:00:00,SOLUSDT,1,STRONG,89.0,82.55,-1.7264,8.6159,True,30.0,50.0
2026-06-16 18:00:00,ETHUSDT,2,STRONG,84.0,78.63,-1.5819,7.1896,True,20.0,50.0
2026-06-16 18:00:00,LINKUSDT,3,STRONG,77.0,59.65,-1.879,3.9955,False,0.0,50.0
2026-06-16 18:00:00,BTCUSDT,4,ACTIVE,66.0,57.2,-1.3751,2.6286,False,0.0,50.0
2026-06-16 18:00:00,XRPUSDT,5,ACTIVE,72.0,49.9,-4.299,7.0332,False,0.0,50.0
2026-06-16 18:00:00,DOGEUSDT,6,SLEEP,11.0,14.12,-1.959,-0.1254,False,0.0,50.0
2026-06-16 19:00:00,ETHUSDT,1,STRONG,79.0,74.72,-1.4534,6.9785,True,30.0,50.0
2026-06-16 19:00:00,SOLUSDT,2,ACTIVE,72.0,70.73,-1.9129,8.2222,True,20.0,50.0
2026-06-16 19:00:00,BTCUSDT,3,ACTIVE,67.0,60.15,-1.4088,2.1452,False,0.0,50.0
2026-06-16 19:00:00,LINKUSDT,4,ACTIVE,66.0,56.37,-1.8074,3.3413,False,0.0,50.0
2026-06-16 19:00:00,XRPUSDT,5,WATCH,56.0,41.87,-4.327,6.3524,False,0.0,50.0
2026-06-16 19:00:00,DOGEUSDT,6,SLEEP,0.0,11.67,-1.9326,-0.3994,False,0.0,50.0
2026-06-16 20:00:00,ETHUSDT,1,STRONG,79.0,71.38,-1.0529,7.2346,True,30.0,50.0
2026-06-16 20:00:00,LINKUSDT,2,STRONG,80.0,71.0,-0.5372,4.3462,True,20.0,50.0
2026-06-16 20:00:00,SOLUSDT,3,ACTIVE,72.0,70.73,-1.0807,8.5823,False,0.0,50.0
2026-06-16 20:00:00,BTCUSDT,4,ACTIVE,66.0,52.2,-1.0012,2.4514,False,0.0,50.0
2026-06-16 20:00:00,XRPUSDT,5,WATCH,56.0,44.37,-3.2511,6.6533,False,0.0,50.0
2026-06-16 20:00:00,DOGEUSDT,6,SLEEP,11.0,16.62,-1.5054,0.0,False,0.0,50.0
2026-06-16 21:00:00,SOLUSDT,1,STRONG,80.0,79.33,-0.685,6.7417,True,30.0,50.0
2026-06-16 21:00:00,ETHUSDT,2,STRONG,87.0,74.15,-0.8187,6.5274,True,20.0,50.0
2026-06-16 21:00:00,LINKUSDT,3,STRONG,80.0,71.0,-0.4788,3.6271,False,0.0,50.0
2026-06-16 21:00:00,BTCUSDT,4,ACTIVE,69.0,49.38,-0.8908,2.0256,False,0.0,50.0
2026-06-16 21:00:00,XRPUSDT,5,WATCH,56.0,45.2,-2.416,5.8119,False,0.0,50.0
2026-06-16 21:00:00,DOGEUSDT,6,SLEEP,0.0,10.83,-1.5308,-0.7713,False,0.0,50.0
